name,age,apps,goals,assists,shots,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,club_position
Kasper Schmeichel,35,38,0,0,0,6.50,0.2,0.1,1.0,0,0,32.0,18
Jonny Evans,35,18,0,0,5,6.45,1.4,1.0,4.0,2,1,38.0,18
Wesley Fofana,22,25,2,1,15,6.60,1.3,1.1,3.5,3,1,40.0,18
Caglar Soyuncu,25,12,0,0,8,6.55,1.1,0.9,3.2,1,0,37.0,18
Ricardo Pereira,28,24,1,2,20,6.70,1.0,0.8,3.0,5,3,39.0,18
Luke Thomas,22,14,0,1,10,6.40,0.9,0.7,2.5,2,2,34.0,18
Harry Maguire,30,23,1,0,12,6.45,1.3,1.0,3.8,1,0,36.0,18
Youri Tielemans,25,30,3,4,35,7.00,0.8,0.6,2.0,8,6,42.0,18
Wilfred Ndidi,27,32,1,1,25,6.75,1.5,1.2,3.3,4,3,41.0,18
James Maddison,26,33,6,5,45,6.85,0.9,0.7,2.1,9,7,43.0,18
Patson Daka,24,21,3,2,30,6.00,0.7,0.5,1.0,4,3,38.0,18
Harvey Barnes,26,35,8,3,50,6.90,0.6,0.4,1.2,7,9,40.0,18
Marc Albrighton,33,20,0,1,15,6.55,0.8,0.6,2.2,3,2,35.0,18
Ayoze Pérez,31,27,5,2,40,6.65,0.8,0.6,1.8,6,4,37.0,18
Marc Lewis,23,15,0,0,10,6.40,0.9,0.7,2.5,2,1,34.0,18
Kelechi Iheanacho,26,28,12,4,55,7.10,0.5,0.4,1.0,8,7,42.0,18
Boubakary Soumaré,24,19,1,1,20,6.55,0.9,0.8,2.9,4,3,36.0,18
Daniel Amartey,28,16,0,0,8,6.45,1.2,0.9,3.3,1,0,33.0,18
Wilfred Ndidi,27,32,1,1,25,6.75,1.5,1.2,3.3,4,3,41.0,18
Jonny Evans,35,18,0,0,5,6.45,1.4,1.0,4.0,2,1,38.0,18
